가입일자,사용자코드,성별,연령대코드,신규가입자수
2025-12-31,회원-내국인,M,기타,26
2025-12-31,회원-내국인,M,70대이상,4
2025-12-31,회원-내국인,M,60대,7
2025-12-31,회원-내국인,M,50대,19
2025-12-31,회원-내국인,M,40대,16
2025-12-31,회원-내국인,M,30대,19
2025-12-31,회원-내국인,M,20대,37
2025-12-31,회원-내국인,M,10대,45
2025-12-31,회원-내국인,F,기타,5
2025-12-31,회원-내국인,F,70대이상,1
2025-12-31,회원-내국인,F,60대,5
2025-12-31,회원-내국인,F,50대,9
2025-12-31,회원-내국인,F,40대,5
2025-12-31,회원-내국인,F,30대,12
2025-12-31,회원-내국인,F,20대,20
2025-12-31,회원-내국인,F,10대,15
2025-12-30,회원-내국인,M,기타,25
2025-12-30,회원-내국인,M,70대이상,3
2025-12-30,회원-내국인,M,60대,12
2025-12-30,회원-내국인,M,50대,18
2025-12-30,회원-내국인,M,40대,19
2025-12-30,회원-내국인,M,30대,20
2025-12-30,회원-내국인,M,20대,47
2025-12-30,회원-내국인,M,10대,47
2025-12-30,회원-내국인,F,기타,9
2025-12-30,회원-내국인,F,70대이상,2
2025-12-30,회원-내국인,F,60대,6
2025-12-30,회원-내국인,F,50대,6
2025-12-30,회원-내국인,F,40대,11
2025-12-30,회원-내국인,F,30대,13
2025-12-30,회원-내국인,F,20대,32
2025-12-30,회원-내국인,F,10대,27
2025-12-29,회원-내국인,M,기타,21
2025-12-29,회원-내국인,M,70대이상,1
2025-12-29,회원-내국인,M,60대,6
2025-12-29,회원-내국인,M,50대,16
2025-12-29,회원-내국인,M,40대,31
2025-12-29,회원-내국인,M,30대,40
2025-12-29,회원-내국인,M,20대,47
2025-12-29,회원-내국인,M,10대,60
2025-12-29,회원-내국인,F,기타,7
2025-12-29,회원-내국인,F,60대,5
2025-12-29,회원-내국인,F,50대,11
2025-12-29,회원-내국인,F,40대,14
2025-12-29,회원-내국인,F,30대,16
2025-12-29,회원-내국인,F,20대,36
2025-12-29,회원-내국인,F,10대,31
2025-12-28,회원-내국인,M,기타,27
2025-12-28,회원-내국인,M,70대이상,2
2025-12-28,회원-내국인,M,60대,6
2025-12-28,회원-내국인,M,50대,20
2025-12-28,회원-내국인,M,40대,40
2025-12-28,회원-내국인,M,30대,27
2025-12-28,회원-내국인,M,20대,58
2025-12-28,회원-내국인,M,10대,88
2025-12-28,회원-내국인,F,기타,8
2025-12-28,회원-내국인,F,70대이상,1
2025-12-28,회원-내국인,F,60대,3
2025-12-28,회원-내국인,F,50대,10
2025-12-28,회원-내국인,F,40대,22
2025-12-28,회원-내국인,F,30대,23
2025-12-28,회원-내국인,F,20대,32
2025-12-28,회원-내국인,F,10대,32
2025-12-27,회원-내국인,M,기타,35
2025-12-27,회원-내국인,M,70대이상,2
2025-12-27,회원-내국인,M,60대,5
2025-12-27,회원-내국인,M,50대,11
2025-12-27,회원-내국인,M,40대,24
2025-12-27,회원-내국인,M,30대,19
2025-12-27,회원-내국인,M,20대,39
2025-12-27,회원-내국인,M,10대,85
2025-12-27,회원-내국인,F,기타,6
2025-12-27,회원-내국인,F,50대,6
2025-12-27,회원-내국인,F,40대,14
2025-12-27,회원-내국인,F,30대,17
2025-12-27,회원-내국인,F,20대,14
2025-12-27,회원-내국인,F,10대,29
2025-12-26,회원-내국인,M,기타,26
2025-12-26,회원-내국인,M,70대이상,1
2025-12-26,회원-내국인,M,60대,7
2025-12-26,회원-내국인,M,50대,15
2025-12-26,회원-내국인,M,40대,18
2025-12-26,회원-내국인,M,30대,10
2025-12-26,회원-내국인,M,20대,20
2025-12-26,회원-내국인,M,10대,25
2025-12-26,회원-내국인,F,기타,1
2025-12-26,회원-내국인,F,60대,3
2025-12-26,회원-내국인,F,50대,5
2025-12-26,회원-내국인,F,40대,8
2025-12-26,회원-내국인,F,30대,6
2025-12-26,회원-내국인,F,20대,9
2025-12-26,회원-내국인,F,10대,23
2025-12-25,회원-내국인,M,기타,16
2025-12-25,회원-내국인,M,60대,7
2025-12-25,회원-내국인,M,50대,10
2025-12-25,회원-내국인,M,40대,20
2025-12-25,회원-내국인,M,30대,22
2025-12-25,회원-내국인,M,20대,38
2025-12-25,회원-내국인,M,10대,113
2025-12-25,회원-내국인,F,기타,7
2025-12-25,회원-내국인,F,60대,2
2025-12-25,회원-내국인,F,50대,6
2025-12-25,회원-내국인,F,40대,8
2025-12-25,회원-내국인,F,30대,7
2025-12-25,회원-내국인,F,20대,16
2025-12-25,회원-내국인,F,10대,21
2025-12-24,회원-내국인,M,기타,27
2025-12-24,회원-내국인,M,70대이상,2
2025-12-24,회원-내국인,M,60대,6
2025-12-24,회원-내국인,M,50대,22
2025-12-24,회원-내국인,M,40대,31
2025-12-24,회원-내국인,M,30대,22
2025-12-24,회원-내국인,M,20대,43
2025-12-24,회원-내국인,M,10대,73
2025-12-24,회원-내국인,F,기타,6
2025-12-24,회원-내국인,F,60대,4
2025-12-24,회원-내국인,F,50대,8
2025-12-24,회원-내국인,F,40대,9
2025-12-24,회원-내국인,F,30대,22
2025-12-24,회원-내국인,F,20대,35
2025-12-24,회원-내국인,F,10대,26
2025-12-23,회원-내국인,M,기타,22
2025-12-23,회원-내국인,M,70대이상,4
2025-12-23,회원-내국인,M,60대,6
2025-12-23,회원-내국인,M,50대,16
2025-12-23,회원-내국인,M,40대,25
2025-12-23,회원-내국인,M,30대,9
2025-12-23,회원-내국인,M,20대,27
2025-12-23,회원-내국인,M,10대,33
2025-12-23,회원-내국인,F,기타,9
2025-12-23,회원-내국인,F,70대이상,1
2025-12-23,회원-내국인,F,60대,3
2025-12-23,회원-내국인,F,50대,5
2025-12-23,회원-내국인,F,40대,6
2025-12-23,회원-내국인,F,30대,10
2025-12-23,회원-내국인,F,20대,13
2025-12-23,회원-내국인,F,10대,14
2025-12-22,회원-내국인,M,기타,22
2025-12-22,회원-내국인,M,70대이상,2
2025-12-22,회원-내국인,M,60대,7
2025-12-22,회원-내국인,M,50대,17
2025-12-22,회원-내국인,M,40대,30
2025-12-22,회원-내국인,M,30대,40
2025-12-22,회원-내국인,M,20대,62
2025-12-22,회원-내국인,M,10대,71
2025-12-22,회원-내국인,F,기타,6
2025-12-22,회원-내국인,F,60대,3
2025-12-22,회원-내국인,F,50대,8
2025-12-22,회원-내국인,F,40대,8
2025-12-22,회원-내국인,F,30대,15
2025-12-22,회원-내국인,F,20대,32
2025-12-22,회원-내국인,F,10대,38
2025-12-21,회원-내국인,M,기타,30
2025-12-21,회원-내국인,M,60대,7
2025-12-21,회원-내국인,M,50대,30
2025-12-21,회원-내국인,M,40대,33
2025-12-21,회원-내국인,M,30대,30
2025-12-21,회원-내국인,M,20대,66
2025-12-21,회원-내국인,M,10대,112
2025-12-21,회원-내국인,F,기타,7
2025-12-21,회원-내국인,F,60대,2
2025-12-21,회원-내국인,F,50대,7
2025-12-21,회원-내국인,F,40대,21
2025-12-21,회원-내국인,F,30대,22
2025-12-21,회원-내국인,F,20대,40
2025-12-21,회원-내국인,F,10대,46
2025-12-20,회원-내국인,M,기타,40
2025-12-20,회원-내국인,M,70대이상,4
2025-12-20,회원-내국인,M,60대,10
2025-12-20,회원-내국인,M,50대,22
2025-12-20,회원-내국인,M,40대,34
2025-12-20,회원-내국인,M,30대,37
2025-12-20,회원-내국인,M,20대,76
2025-12-20,회원-내국인,M,10대,127
2025-12-20,회원-내국인,F,기타,11
2025-12-20,회원-내국인,F,70대이상,1
2025-12-20,회원-내국인,F,60대,4
2025-12-20,회원-내국인,F,50대,8
2025-12-20,회원-내국인,F,40대,22
2025-12-20,회원-내국인,F,30대,19
2025-12-20,회원-내국인,F,20대,34
2025-12-20,회원-내국인,F,10대,31
2025-12-19,회원-내국인,M,기타,32
2025-12-19,회원-내국인,M,70대이상,1
2025-12-19,회원-내국인,M,60대,10
2025-12-19,회원-내국인,M,50대,21
2025-12-19,회원-내국인,M,40대,24
2025-12-19,회원-내국인,M,30대,41
2025-12-19,회원-내국인,M,20대,58
2025-12-19,회원-내국인,M,10대,110
2025-12-19,회원-내국인,F,기타,13
2025-12-19,회원-내국인,F,60대,3
2025-12-19,회원-내국인,F,50대,17
2025-12-19,회원-내국인,F,40대,18
2025-12-19,회원-내국인,F,30대,20
2025-12-19,회원-내국인,F,20대,40
2025-12-19,회원-내국인,F,10대,71
2025-12-18,회원-내국인,M,기타,35
2025-12-18,회원-내국인,M,70대이상,2
2025-12-18,회원-내국인,M,60대,8
2025-12-18,회원-내국인,M,50대,22
2025-12-18,회원-내국인,M,40대,32
2025-12-18,회원-내국인,M,30대,36
2025-12-18,회원-내국인,M,20대,42
2025-12-18,회원-내국인,M,10대,126
2025-12-18,회원-내국인,F,기타,5
2025-12-18,회원-내국인,F,70대이상,1
2025-12-18,회원-내국인,F,60대,3
2025-12-18,회원-내국인,F,50대,13
2025-12-18,회원-내국인,F,40대,16
2025-12-18,회원-내국인,F,30대,19
2025-12-18,회원-내국인,F,20대,32
2025-12-18,회원-내국인,F,10대,46
2025-12-17,회원-내국인,M,기타,22
2025-12-17,회원-내국인,M,70대이상,2
2025-12-17,회원-내국인,M,60대,10
2025-12-17,회원-내국인,M,50대,27
2025-12-17,회원-내국인,M,40대,33
2025-12-17,회원-내국인,M,30대,29
2025-12-17,회원-내국인,M,20대,48
2025-12-17,회원-내국인,M,10대,102
2025-12-17,회원-내국인,F,기타,12
2025-12-17,회원-내국인,F,60대,1
2025-12-17,회원-내국인,F,50대,4
2025-12-17,회원-내국인,F,40대,9
2025-12-17,회원-내국인,F,30대,13
2025-12-17,회원-내국인,F,20대,21
2025-12-17,회원-내국인,F,10대,44
2025-12-16,회원-내국인,M,기타,32
2025-12-16,회원-내국인,M,70대이상,1
2025-12-16,회원-내국인,M,60대,8
2025-12-16,회원-내국인,M,50대,15
2025-12-16,회원-내국인,M,40대,24
2025-12-16,회원-내국인,M,30대,18
2025-12-16,회원-내국인,M,20대,18
2025-12-16,회원-내국인,M,10대,47
2025-12-16,회원-내국인,F,기타,2
2025-12-16,회원-내국인,F,60대,1
2025-12-16,회원-내국인,F,50대,3
2025-12-16,회원-내국인,F,40대,8
2025-12-16,회원-내국인,F,30대,8
2025-12-16,회원-내국인,F,20대,15
2025-12-16,회원-내국인,F,10대,10
2025-12-15,회원-내국인,M,기타,22
2025-12-15,회원-내국인,M,70대이상,1
2025-12-15,회원-내국인,M,60대,8
2025-12-15,회원-내국인,M,50대,17
2025-12-15,회원-내국인,M,40대,26
2025-12-15,회원-내국인,M,30대,37
2025-12-15,회원-내국인,M,20대,43
